"","Name","Platform","Year_of_Release","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count","Developer","Rating","series"
"1","super mario bros.","NES","1985","Platform","Nintendo",29.08,3.58,6.81,0.77,40.24,NA,NA,"",NA,"","","super mario"
"2","new super mario bros.","Nintendo DS","2006","Platform","Nintendo",11.28,9.14,6.5,2.88,29.8,89,65,"8.5",431,"Nintendo","E","super mario"
"3","new super mario bros. wii","Wii","2009","Platform","Nintendo",14.44,6.94,4.7,2.24,28.32,87,80,"8.4",594,"Nintendo","E","super mario"
"4","super mario world","Super NES","1990","Platform","Nintendo",12.78,3.75,3.54,0.55,20.61,NA,NA,"",NA,"","","super mario"
"5","super mario land","Game Boy","1989","Platform","Nintendo",10.83,2.71,4.18,0.42,18.14,NA,NA,"",NA,"","","super mario"
"6","super mario bros. 3","NES","1988","Platform","Nintendo",9.54,3.44,3.84,0.46,17.28,NA,NA,"",NA,"","","super mario"
"7","super mario 64","Nintendo 64","1996","Platform","Nintendo",6.91,2.85,1.91,0.23,11.89,NA,NA,"",NA,"","","super mario"
"8","super mario galaxy","Wii","2007","Platform","Nintendo",6.06,3.35,1.2,0.74,11.35,97,73,"8.9",2147,"Nintendo","E","super mario"
"9","super mario land 2: 6 golden coins","Game Boy","1992","Adventure","Nintendo",6.16,2.04,2.69,0.29,11.18,NA,NA,"",NA,"","","super mario"
"10","super mario 3d land","3Nintendo DS","2011","Platform","Nintendo",4.89,3,2.14,0.78,10.81,90,82,"8.4",921,"Nintendo","E","super mario"
"11","super mario all-stars","Super NES","1993","Platform","Nintendo",5.99,2.15,2.12,0.29,10.55,NA,NA,"",NA,"","","super mario"
"12","super mario 64","Nintendo DS","2004","Platform","Nintendo",5.01,3.07,1.25,0.97,10.3,NA,NA,"",NA,"","","super mario"
"13","new super mario bros. 2","3Nintendo DS","2012","Platform","Nintendo",3.66,3.14,2.47,0.63,9.9,78,70,"7.2",424,"Nintendo","E","super mario"
"14","super mario kart","Super NES","1992","Racing","Nintendo",3.54,1.24,3.81,0.18,8.76,NA,NA,"",NA,"","","super mario"
"15","super mario galaxy 2","Wii","2010","Platform","Nintendo",3.56,2.35,0.98,0.62,7.51,97,87,"9.1",1854,"Nintendo EAD Tokyo","E","super mario"
"16","super mario bros. 2","NES","1988","Platform","Nintendo",5.39,1.18,0.7,0.19,7.46,NA,NA,"",NA,"","","super mario"
"17","super mario sunshine","GameCube","2002","Platform","Nintendo",4.01,1.26,0.87,0.17,6.31,92,61,"8.6",439,"Nintendo","E","super mario"
"18","super mario advance","Game BoyA","2001","Platform","Nintendo",3.14,1.24,0.91,0.2,5.49,84,19,"7.8",41,"Nintendo","E","super mario"
"19","super mario world","Game BoyA","2001","Platform","Nintendo",3.21,1.11,0.95,0.2,5.46,NA,NA,"",NA,"","","super mario"
"20","new super mario bros. u","Wii U","2012","Platform","Nintendo",2.3,1.34,1.27,0.32,5.22,84,70,"8.1",733,"Nintendo","E","super mario"
"21","super mario bros. 3","Game BoyA","2003","Platform","Nintendo",2.93,1.25,0.83,0.2,5.2,NA,NA,"",NA,"","","super mario"
"22","super mario land 3: wario land","Game Boy","1994","Platform","Nintendo",2.49,0.98,1.57,0.15,5.19,NA,NA,"",NA,"","","super mario"
"23","super mario bros.","Game Boy","1999","Platform","Nintendo",3.4,1.3,0.15,0.22,5.07,NA,NA,"",NA,"","","super mario"
"24","super mario 3d world","Wii U","2013","Platform","Nintendo",2.11,1.16,0.73,0.32,4.32,93,83,"9",1607,"Nintendo","E","super mario"
"25","super mario world 2: yoshi's island","Super NES","1995","Platform","Nintendo",1.65,0.61,1.76,0.09,4.12,NA,NA,"",NA,"","","super mario"
"26","super mario maker","Wii U","2015","Platform","Nintendo",1.18,0.89,0.94,0.2,3.21,88,85,"8.7",691,"Nintendo","E","super mario"
"27","super mario world 2: yoshi's island","Game BoyA","2002","Platform","Nintendo",1.75,0.45,0.62,0.09,2.91,NA,NA,"",NA,"","","super mario"
"28","super mario bros.: the lost levels","NES","1986","Platform","Nintendo",0,0,2.65,0,2.65,NA,NA,"",NA,"","","super mario"
"29","super mario all-stars: limited edition","Wii","2010","Platform","Nintendo",0.99,0.52,0.92,0.14,2.56,NA,NA,"",NA,"","","super mario"
"30","super mario rpg: legend of the seven stars","Super NES","1996","Role-Playing","Nintendo",0.66,0,1.45,0.03,2.14,NA,NA,"",NA,"","","super mario"
"31","super mario strikers","GameCube","2005","Sports","Nintendo",0.98,0.38,0.2,0.04,1.61,76,39,"8.7",55,"Next Level Games","E","super mario"
"32","classic nes series: super mario bros.","Game BoyA","2004","Platform","Nintendo",0,0,1.39,0.03,1.43,84,14,"8.6",44,"Nintendo","E","super mario"
"33","puzzle & dragons z + super mario bros. edition","3Nintendo DS","2015","Puzzle","Nintendo",0.06,0.07,0.34,0.01,0.48,NA,NA,"",NA,"","","super mario"
"34","famicom mini: super mario bros. 2","Game BoyA","2004","Platform","Nintendo",0,0,0.41,0.01,0.42,NA,NA,"",NA,"","","super mario"
"35","the legend of zelda: ocarina of time","Nintendo 64","1998","Action","Nintendo",4.1,1.89,1.45,0.16,7.6,NA,NA,"",NA,"","","zelda"
"36","the legend of zelda: twilight princess","Wii","2006","Action","Nintendo",3.74,2.14,0.6,0.68,7.15,95,73,"9",1658,"Nintendo","T","zelda"
"37","the legend of zelda","NES","1986","Action","Nintendo",3.74,0.93,1.69,0.14,6.51,NA,NA,"",NA,"","","zelda"
"38","the legend of zelda: phantom hourglass","Nintendo DS","2007","Action","Nintendo",1.85,1.8,0.95,0.48,5.08,90,57,"8",416,"Nintendo","E","zelda"
"39","the legend of zelda: a link to the past","Super NES","1991","Action","Nintendo",2.42,0.91,1.15,0.13,4.61,NA,NA,"",NA,"","","zelda"
"40","the legend of zelda: the wind waker","GameCube","2002","Action","Nintendo",2.6,0.99,0.89,0.13,4.6,96,80,"8.9",968,"Nintendo","E","zelda"
"41","zelda ii: the adventure of link","NES","1987","Adventure","Nintendo",2.19,0.5,1.61,0.08,4.38,NA,NA,"",NA,"","","zelda"
"42","the legend of zelda: ocarina of time","3Nintendo DS","2011","Action","Nintendo",2.09,1.31,0.62,0.31,4.33,NA,NA,"",NA,"","","zelda"
"43","the legend of zelda: skyward sword","Wii","2011","Action","Nintendo",2.03,1.16,0.37,0.38,3.95,93,81,"8",1958,"Nintendo","E10+","zelda"
"44","the legend of zelda: link's awakening","Game Boy","1992","Action","Nintendo",2.21,0.96,0.54,0.13,3.83,NA,NA,"",NA,"","","zelda"
"45","the legend of zelda: majora's mask","Nintendo 64","2000","Action","Nintendo",1.9,0.67,0.73,0.06,3.36,NA,NA,"",NA,"","","zelda"
"46","the legend of zelda: spirit tracks","Nintendo DS","2009","Action","Nintendo",1.4,0.91,0.74,0.26,3.31,87,75,"7.8",228,"Nintendo","E10+","zelda"
"47","the legend of zelda: a link between worlds","3Nintendo DS","2013","Action","Nintendo",1.4,1.01,0.46,0.23,3.1,91,81,"8.9",1057,"Nintendo","E","zelda"
"48","the legend of zelda: a link to the past","Game BoyA","2002","Action","Nintendo",1.75,0.52,0.33,0.1,2.7,95,30,"9.1",314,"Capcom","E","zelda"
"49","the legend of zelda: majora's mask 3d","3Nintendo DS","2015","Action","Nintendo",1.15,0.55,0.47,0.17,2.34,89,82,"9",478,"GREZZO","E10+","zelda"
"50","the legend of zelda: link's awakening dx","Game Boy","1998","Adventure","Nintendo",1,0.63,0.45,0.13,2.22,NA,NA,"",NA,"","","zelda"
"51","the legend of zelda: oracle of ages","Game Boy","2001","Action","Nintendo",0.92,0.53,0.41,0.06,1.92,NA,NA,"",NA,"","","zelda"
"52","the legend of zelda: oracle of seasons","Game Boy","2001","Adventure","Nintendo",0.87,0.52,0.41,0.06,1.86,NA,NA,"",NA,"","","zelda"
"53","the legend of zelda: the wind waker","Wii U","2013","Action","Nintendo",0.92,0.6,0.14,0.14,1.79,NA,NA,"",NA,"","","zelda"
"54","the legend of zelda: twilight princess","GameCube","2006","Action","Nintendo",1.15,0.36,0.04,0.04,1.59,96,16,"9.2",568,"Nintendo","T","zelda"
"55","the legend of zelda: the minish cap","Game BoyA","2004","Action","Nintendo",0.89,0.22,0.22,0.1,1.42,89,56,"9",203,"Flagship","E","zelda"
"56","the legend of zelda: tri force heroes","3Nintendo DS","2015","Action","Nintendo",0.53,0.33,0.17,0.08,1.12,73,73,"7.6",179,"Nintendo","E","zelda"
"57","the legend of zelda: twilight princess hd","Wii U","2016","Action","Nintendo",0.56,0.3,0.08,0.09,1.03,86,74,"8.4",329,"Tantalus Interactive, Tantatus, Nintendo","T","zelda"
"58","classic nes series: the legend of zelda","Game BoyA","2004","Adventure","Nintendo",0.46,0.17,0.24,0.02,0.89,84,16,"8.6",58,"Nintendo","E","zelda"
"59","the legend of zelda: four swords adventures","GameCube","2004","Action","Nintendo",0.63,0.16,0,0.02,0.81,86,55,"7.2",74,"Nintendo","E","zelda"
"60","classic nes series: zelda ii: the adventure of link","Game BoyA","2004","Adventure","Nintendo",0.37,0.14,0.17,0.01,0.7,73,8,"7.5",39,"Nintendo","E","zelda"
"61","the legend of zelda: the minish cap(weekly jp sales)","Game BoyA","N/A","Action","N/A",0,0,0.27,0.01,0.27,NA,NA,"",NA,"","","zelda"
"62","super smash bros. brawl","Wii","2008","Fighting","Nintendo",6.62,2.55,2.66,1.01,12.84,93,81,"8.9",1662,"Game Arts","T","super smash"
"63","super smash bros. for wii u and 3ds","3Nintendo DS","2014","Fighting","Nintendo",3.27,1.37,2.43,0.48,7.55,NA,NA,"",NA,"","","super smash"
"64","super smash bros. melee","GameCube","2001","Fighting","Nintendo",4.41,1.04,1.39,0.22,7.07,92,38,"9.1",568,"HAL Labs","T","super smash"
"65","super smash bros.","Nintendo 64","1999","Fighting","Nintendo",2.95,0.6,1.97,0.04,5.55,NA,NA,"",NA,"","","super smash"
"66","super smash bros. for wii u and 3ds","Wii U","2014","Fighting","Nintendo",2.6,1.08,0.81,0.38,4.87,NA,NA,"",NA,"","","super smash"
"67","mario kart wii","Wii","2008","Racing","Nintendo",15.68,12.76,3.79,3.29,35.52,82,73,"8.3",709,"Nintendo","E","mario kart"
"68","mario kart ds","Nintendo DS","2005","Racing","Nintendo",9.71,7.47,4.13,1.9,23.21,91,64,"8.6",464,"Nintendo","E","mario kart"
"69","mario kart 7","3Nintendo DS","2011","Racing","Nintendo",5.03,4.02,2.69,0.91,12.66,85,73,"8.2",632,"Retro Studios, Entertainment Analysis & Development Division","E","mario kart"
"70","mario kart 64","Nintendo 64","1996","Racing","Nintendo",5.55,1.94,2.23,0.15,9.87,NA,NA,"",NA,"","","mario kart"
"71","super mario kart","Super NES","1992","Racing","Nintendo",3.54,1.24,3.81,0.18,8.76,NA,NA,"",NA,"","","mario kart"
"72","mario kart 8","Wii U","2014","Racing","Nintendo",3.15,2.15,1.28,0.51,7.09,88,82,"9.1",1599,"Nintendo","E","mario kart"
"73","mario kart: double dash!!","GameCube","2003","Racing","Nintendo",4.12,1.77,0.87,0.19,6.95,NA,NA,"",NA,"","","mario kart"
"74","mario kart: super circuit","Game BoyA","2001","Racing","Nintendo",2.62,1.64,0.99,0.23,5.47,93,24,"8.3",108,"Intelligent Systems","E","mario kart"
"75","mario & luigi: paper jam & mario kart 7 double pack","3Nintendo DS","2015","Misc","Nintendo",0,0,0.01,0,0.01,NA,NA,"",NA,"","","mario kart"
"76","grand theft auto v","PlayStation 3","2013","Action","Take-Two Interactive",7.02,9.09,0.98,3.96,21.04,97,50,"8.2",3994,"Rockstar North","M","grand theft auto"
"77","grand theft auto: san andreas","PlayStation 2","2004","Action","Take-Two Interactive",9.43,0.4,0.41,10.57,20.81,95,80,"9",1588,"Rockstar North","M","grand theft auto"
"78","grand theft auto v","Xbox One","2013","Action","Take-Two Interactive",9.66,5.14,0.06,1.41,16.27,97,58,"8.1",3711,"Rockstar North","M","grand theft auto"
"79","grand theft auto: vice city","PlayStation 2","2002","Action","Take-Two Interactive",8.41,5.49,0.47,1.78,16.15,95,62,"8.7",730,"Rockstar North","M","grand theft auto"
"80","grand theft auto iii","PlayStation 2","2001","Action","Take-Two Interactive",6.99,4.51,0.3,1.3,13.1,97,56,"8.5",664,"DMA Design","M","grand theft auto"
"81","grand theft auto v","PlayStation 4","2014","Action","Take-Two Interactive",3.96,6.31,0.38,1.97,12.61,97,66,"8.3",2899,"Rockstar North","M","grand theft auto"
"82","grand theft auto iv","Xbox One","2008","Action","Take-Two Interactive",6.76,3.07,0.14,1.03,11.01,98,86,"7.9",2951,"Rockstar North","M","grand theft auto"
"83","grand theft auto iv","PlayStation 3","2008","Action","Take-Two Interactive",4.76,3.69,0.44,1.61,10.5,98,64,"7.5",2833,"Rockstar North","M","grand theft auto"
"84","grand theft auto: liberty city stories","PlayStation Portable","2005","Action","Take-Two Interactive",2.9,2.81,0.24,1.73,7.69,88,65,"7.6",451,"Rockstar Leeds","M","grand theft auto"
"85","grand theft auto v","Xbox One","2014","Action","Take-Two Interactive",2.81,2.19,0,0.47,5.48,97,14,"7.9",764,"Rockstar North","M","grand theft auto"
"86","grand theft auto: vice city stories","PlayStation Portable","2006","Action","Take-Two Interactive",1.7,1.99,0.16,1.18,5.03,86,50,"8",150,"Rockstar Leeds","M","grand theft auto"
"87","grand theft auto: liberty city stories","PlayStation 2","2006","Action","Take-Two Interactive",1.56,1.4,0.07,0.5,3.54,78,49,"7.8",112,"Rockstar Leeds","M","grand theft auto"
"88","grand theft auto 2","PlayStation","1998","Action","Take-Two Interactive",1.13,2.07,0,0.22,3.42,70,15,"8",67,"DMA Design","T","grand theft auto"
"89","rockstar games double pack: grand theft auto iii & grand theft auto vice city","Xbox","2003","Action","Take-Two Interactive",1.84,0.56,0,0.09,2.49,NA,NA,"",NA,"","","grand theft auto"
"90","grand theft auto","PlayStation","1997","Action","Take-Two Interactive",0.79,1.35,0.04,0.14,2.32,NA,NA,"",NA,"","","grand theft auto"
"91","grand theft auto: san andreas","Xbox","2005","Action","Take-Two Interactive",1.26,0.61,0,0.09,1.95,93,58,"8.6",118,"Rockstar North","AO","grand theft auto"
"92","rockstar games double pack: grand theft auto iii & grand theft auto vice city","PlayStation 2","2003","Action","Take-Two Interactive",0.85,0.66,0,0.22,1.72,NA,NA,"",NA,"","","grand theft auto"
"93","grand theft auto: chinatown wars","Nintendo DS","2009","Action","Take-Two Interactive",0.58,0.56,0.05,0.14,1.32,93,85,"8.3",280,"Rockstar Leeds","M","grand theft auto"
"94","grand theft auto v","PC","2015","Action","Take-Two Interactive",0.39,0.69,0,0.09,1.17,96,57,"7.9",3756,"Rockstar North","M","grand theft auto"
"95","grand theft auto: chinatown wars","PlayStation Portable","2009","Action","Take-Two Interactive",0.28,0.49,0.03,0.27,1.06,90,77,"7.3",146,"Rockstar Leeds","M","grand theft auto"
"96","grand theft auto: san andreas","PC","2005","Action","Take-Two Interactive",0,0.93,0,0.04,0.97,93,47,"8.9",1841,"Rockstar North","M","grand theft auto"
"97","grand theft auto: vice city stories","PlayStation 2","2007","Action","Take-Two Interactive",0.78,0.03,0.03,0.13,0.97,75,37,"7.9",67,"Rockstar Leeds","M","grand theft auto"
"98","grand theft auto iv","PC","2008","Action","Take-Two Interactive",0.01,0.79,0,0.07,0.88,90,40,"6.6",2299,"Rockstar Toronto","M","grand theft auto"
"99","grand theft auto","Game BoyA","2004","Action","Take-Two Interactive",0.17,0.06,0,0,0.24,68,33,"7.1",23,"Digital Eclipse","M","grand theft auto"
"100","grand theft auto: san andreas","Xbox One","2008","Action","Take-Two Interactive",0.08,0.02,0,0.01,0.11,NA,NA,"7.5",46,"War Drum Studios","M","grand theft auto"
"101","grand theft auto: mission pack #1, london 1969","PlayStation","1998","Adventure","Take-Two Interactive",0.06,0.04,0,0.01,0.11,NA,NA,"",NA,"","","grand theft auto"
"102","grand theft auto: vice city","PC","2003","Action","Take-Two Interactive",0,0.03,0,0.01,0.04,94,30,"8.8",1520,"Rockstar North","M","grand theft auto"
"103","grand theft auto iii","PC","2002","Action","Take-Two Interactive",0,0.01,0,0,0.01,93,20,"8.4",805,"DMA Design, Rockstar North","M","grand theft auto"
"104","the elder scrolls v: skyrim","Xbox One","2011","Role-Playing","Bethesda Softworks",5.05,2.79,0.1,0.85,8.79,96,89,"8.4",3589,"Bethesda Game Studios","M","elder scrolls"
"105","the elder scrolls v: skyrim","PlayStation 3","2011","Role-Playing","Bethesda Softworks",2.55,2.6,0.25,1,6.41,92,16,"6.4",2527,"Bethesda Game Studios","M","elder scrolls"
"106","the elder scrolls iv: oblivion","Xbox One","2006","Role-Playing","Take-Two Interactive",2.82,1.03,0.13,0.4,4.38,94,90,"8.7",1109,"Bethesda Softworks","M","elder scrolls"
"107","the elder scrolls v: skyrim","PC","2011","Role-Playing","Bethesda Softworks",1.16,2.12,0,0.6,3.88,94,32,"8.1",9073,"Bethesda Game Studios","M","elder scrolls"
"108","the elder scrolls iv: oblivion","PlayStation 3","2007","Role-Playing","Ubisoft",1.69,0.85,0.14,0.43,3.1,93,45,"8",604,"4J Studios","M","elder scrolls"
"109","the elder scrolls iii: morrowind","Xbox","2002","Role-Playing","Ubisoft",2.09,0.63,0.03,0.11,2.86,87,34,"8.7",111,"Bethesda Softworks","T","elder scrolls"
"110","the elder scrolls online","PlayStation 4","2015","Role-Playing","Bethesda Softworks",0.67,0.79,0,0.29,1.75,NA,NA,"",NA,"","","elder scrolls"
"111","the elder scrolls v: skyrim","PlayStation 4","2016","Role-Playing","Bethesda Softworks",0.48,0.59,0.04,0.21,1.33,NA,NA,"",NA,"","","elder scrolls"
"112","the elder scrolls online","Xbox One","2015","Role-Playing","Bethesda Softworks",0.78,0.38,0,0.12,1.28,77,11,"8.4",613,"ZeniMax Media","M","elder scrolls"
"113","the elder scrolls online","PC","2014","Role-Playing","Bethesda Softworks",0.32,0.51,0,0.07,0.9,71,64,"5.7",2421,"ZeniMax Media","M","elder scrolls"
"114","the elder scrolls v: skyrim","Xbox One","2016","Role-Playing","Bethesda Softworks",0.41,0.27,0,0.07,0.74,NA,NA,"",NA,"","","elder scrolls"
"115","the elder scrolls iv: oblivion","PC","2006","Role-Playing","Take-Two Interactive",0.01,0.2,0,0.04,0.25,94,54,"8.1",2454,"Bethesda Softworks","M","elder scrolls"
"116","fallout 4","PlayStation 4","2015","Role-Playing","Bethesda Softworks",2.53,3.27,0.24,1.13,7.16,87,58,"6.5",4228,"Bethesda Game Studios","M","fallout"
"117","fallout 3","Xbox One","2008","Role-Playing","Bethesda Softworks",3.4,0.99,0.09,0.45,4.93,93,84,"8.5",1655,"Bethesda Game Studios","M","fallout"
"118","fallout 4","Xbox One","2015","Role-Playing","Bethesda Softworks",2.51,1.32,0.01,0.38,4.22,88,39,"6.2",1749,"Bethesda Game Studios","M","fallout"
"119","fallout: new vegas","Xbox One","2010","Role-Playing","Bethesda Softworks",2.66,1.03,0.04,0.33,4.05,84,81,"8.1",769,"Obsidian Entertainment","M","fallout"
"120","fallout 3","PlayStation 3","2008","Role-Playing","Bethesda Softworks",2.15,1.13,0.07,0.59,3.94,90,57,"8",910,"Bethesda Game Studios","M","fallout"
"121","fallout: new vegas","PlayStation 3","2010","Role-Playing","Bethesda Softworks",1.52,1.03,0.1,0.46,3.11,82,57,"7.8",492,"Obsidian Entertainment","M","fallout"
"122","fallout 4","PC","2015","Role-Playing","Bethesda Softworks",0.51,0.67,0,0.1,1.29,84,38,"5.4",7512,"Bethesda Game Studios","M","fallout"
"123","fallout: new vegas","PC","2010","Role-Playing","Bethesda Softworks",0.59,0.45,0,0.14,1.17,84,39,"8.6",2754,"Obsidian Entertainment","M","fallout"
"124","fallout 3","PC","2008","Role-Playing","Bethesda Softworks",0.02,0.88,0,0.08,0.98,91,48,"7.9",3450,"Bethesda Game Studios","M","fallout"
"125","fallout 3 game add-on pack: broken steel and point lookout","Xbox One","2009","Role-Playing","Bethesda Softworks",0.16,0.06,0,0.02,0.24,NA,NA,"tbd",NA,"Bethesda Softworks","M","fallout"
"126","fallout 3 game add-on pack: the pitt and operation: anchorage","Xbox One","2009","Role-Playing","Bethesda Softworks",0.09,0,0,0.01,0.1,NA,NA,"tbd",NA,"Bethesda Softworks","M","fallout"
"127","fallout: brotherhood of steel","PlayStation 2","2004","Role-Playing","Avalon Interactive",0.03,0.03,0,0.01,0.07,64,31,"4.1",51,"Interplay","M","fallout"
"128","fallout: brotherhood of steel","Xbox","2004","Role-Playing","Avalon Interactive",0.04,0.01,0,0,0.05,66,33,"5.5",23,"Interplay","M","fallout"
"129","fallout trilogy","PC","2004","Role-Playing","Ubisoft",0,0.02,0,0,0.02,NA,NA,"8.9",31,"Various","M","fallout"
"130","fallout anthology","PC","2015","Action","Bethesda Softworks",0,0.01,0,0,0.01,NA,NA,"8.3",12,"Various","","fallout"
"131","mario & sonic at the olympic games","Wii","2007","Sports","Sega",2.57,3.86,0.66,0.91,7.99,NA,NA,"",NA,"","","sonic"
"132","sonic the hedgehog 2","Genesis","1992","Platform","Sega",4.47,1.2,0.16,0.19,6.03,NA,NA,"",NA,"","","sonic"
"133","mario & sonic at the olympic games","Nintendo DS","2008","Sports","Sega",1.63,2.45,0.44,0.57,5.09,NA,NA,"",NA,"","","sonic"
"134","mario & sonic at the olympic winter games","Wii","2009","Sports","Sega",1.87,1.96,0.22,0.48,4.53,NA,NA,"",NA,"","","sonic"
"135","sonic the hedgehog","Genesis","1991","Platform","Sega",3.03,0.91,0.26,0.13,4.34,NA,NA,"",NA,"","","sonic"
"136","mario & sonic at the london 2012 olympic games","Wii","2011","Sports","Sega",1.12,1.87,0.27,0.45,3.72,NA,NA,"",NA,"","","sonic"
"137","mario & sonic at the olympic winter games","Nintendo DS","2009","Sports","Sega",1.21,1.62,0.27,0.37,3.46,NA,NA,"",NA,"","","sonic"
"138","sonic rush","Nintendo DS","2005","Platform","Sega",1.21,1.56,0.06,0.29,3.12,82,43,"8.5",101,"Dimps Corporation, Sonic Team","E","sonic"
"139","sonic heroes","PlayStation 2","2003","Platform","Sega",1.04,1.37,0.06,0.49,2.96,64,29,"7.8",94,"Sonic Team","E","sonic"
"140","sonic mega collection plus","PlayStation 2","2004","Misc","Sega",1.54,1.14,0,0.22,2.9,73,21,"8.6",30,"Sonic Team","E","sonic"
"141","sonic and the secret rings","Wii","2007","Platform","Sega",1.21,1.19,0.04,0.29,2.73,69,44,"6.6",174,"Sonic Team","E","sonic"
"142","sonic adventure 2 battle","GameCube","2001","Platform","Sega",1.7,0.59,0.21,0.07,2.56,73,28,"8.3",179,"Sonic Team","E","sonic"
"143","sonic adventure","Dreamcast","1998","Platform","Sega",1.26,0.61,0.46,0.08,2.42,NA,NA,"",NA,"","","sonic"
"144","sonic's ultimate genesis collection","PlayStation 3","2009","Misc","Sega",1.34,0.6,0,0.31,2.26,80,35,"8.6",43,"Backbone Entertainment","E10+","sonic"
"145","sonic advance","Game BoyA","2001","Platform","Sega",1.19,0.71,0.22,0.13,2.24,87,22,"8.1",48,"Sonic Team","E","sonic"
"146","sonic unleashed","Wii","2008","Platform","Sega",1.26,0.67,0.02,0.21,2.16,66,30,"7.3",136,"Sonic Team","E10+","sonic"
"147","sonic mega collection","GameCube","2002","Misc","Infogrames",1.47,0.48,0.05,0.06,2.05,75,26,"8.8",41,"Sonic Team","E","sonic"
"148","2 games in 1: sonic advance & chuchu rocket!","Game BoyA","2005","Misc","THQ",1.31,0.49,0,0.03,1.83,NA,NA,"",NA,"","","sonic"
"149","sonic classic collection","Nintendo DS","2010","Platform","Sega",0.92,0.73,0,0.17,1.83,70,24,"7.5",28,"Creative Assembly","E","sonic"
"150","sonic & knuckles","Genesis","1994","Platform","Sega",1.24,0.43,0.03,0.12,1.82,NA,NA,"",NA,"","","sonic"
"151","sonic advance 2","Game BoyA","2002","Platform","Sega",0.93,0.59,0.21,0.07,1.8,83,23,"8.3",46,"Dimps Corporation","E","sonic"
"152","sonic the hedgehog 3","Genesis","1994","Platform","Sega",1.02,0.47,0.2,0.07,1.76,NA,NA,"",NA,"","","sonic"
"153","sonic colors","Wii","2010","Platform","Sega",0.92,0.6,0.01,0.15,1.68,78,58,"8.5",301,"Sonic Team","E","sonic"
"154","sonic heroes","GameCube","2003","Platform","Sega",1.05,0.44,0.06,0.04,1.6,72,49,"7.8",125,"Sonic Team","E","sonic"
"155","sonic generations","PlayStation 3","2011","Platform","Sega",0.6,0.69,0.02,0.26,1.58,76,38,"8.2",253,"Sega","E","sonic"
"156","sonic cd","SCD","1993","Platform","Sega",1,0.36,0.09,0.05,1.5,NA,NA,"",NA,"","","sonic"
"157","sonic rivals 2","PlayStation Portable","2007","Racing","Sega",0.44,0.67,0,0.37,1.48,60,24,"7.8",35,"Backbone Entertainment","E","sonic"
"158","sonic & sega all-stars racing","Wii","2010","Racing","Sega",0.61,0.68,0,0.15,1.44,NA,NA,"",NA,"","","sonic"
"159","sonic rivals","PlayStation Portable","2006","Racing","Sega",0.73,0.42,0,0.27,1.42,64,25,"7.8",38,"Backbone Entertainment","E","sonic"
"160","sonic's ultimate genesis collection","Xbox One","2009","Misc","Sega",0.85,0.43,0,0.13,1.41,79,45,"8.5",40,"Backbone Entertainment","E10+","sonic"
"161","sonic advance 3","Game BoyA","2004","Platform","THQ",0.74,0.52,0.08,0.06,1.4,79,30,"8.4",34,"Dimps Corporation","E","sonic"
"162","sonic generations","Xbox One","2011","Platform","Sega",0.71,0.53,0,0.13,1.38,77,49,"8.3",340,"Sega, Sonic Team","E","sonic"
"163","sonic colors","Nintendo DS","2010","Platform","Sega",0.69,0.47,0.01,0.12,1.29,79,26,"7.9",66,"Dimps Corporation","E","sonic"
"164","sonic adventure dx: director's cut","GameCube","2003","Platform","Sega",0.87,0.3,0.06,0.03,1.27,57,27,"7.9",139,"Sonic Team","E","sonic"
"165","mario & sonic at the london 2012 olympic games","3Nintendo DS","2012","Sports","Sega",0.18,0.64,0.27,0.09,1.18,NA,NA,"",NA,"","","sonic"
"166","sonic the hedgehog","PlayStation 3","2006","Platform","Sega",0.41,0.06,0.04,0.66,1.16,43,17,"4.1",176,"Sonic Team","E10+","sonic"
"167","sonic rush adventure","Nintendo DS","2007","Platform","Sega",0.53,0.48,0.01,0.12,1.15,78,32,"8.2",66,"Dimps Corporation","E","sonic"
"168","sonic and the black knight","Wii","2009","Platform","Sega",0.64,0.34,0.01,0.1,1.09,54,51,"6.9",198,"Sonic Team","E10+","sonic"
"169","sonic free riders","Xbox One","2010","Racing","Sega",0.74,0.25,0,0.09,1.09,47,52,"2.1",98,"Sega","E","sonic"
"170","sonic the hedgehog","Xbox One","2006","Platform","Sega",0.44,0.48,0,0.11,1.04,46,38,"4.4",455,"Sega","E10+","sonic"
"171","sonic & sega all-stars racing","Nintendo DS","2010","Racing","Sega",0.43,0.5,0,0.11,1.04,NA,NA,"",NA,"","","sonic"
"172","sonic unleashed","PlayStation 3","2008","Platform","Sega",0.56,0.32,0.01,0.14,1.02,54,24,"7.9",130,"Sonic Team","E10+","sonic"
"173","sonic generations","3Nintendo DS","2011","Platform","Sega",0.44,0.47,0.01,0.09,1.02,66,29,"6.9",108,"Sega, Dimps Corporation","E","sonic"
"174","sonic unleashed","Xbox One","2008","Platform","Sega",0.54,0.32,0,0.09,0.95,60,50,"7.8",238,"Sonic Team","E10+","sonic"
"175","sonic & sega all-stars racing","PlayStation 3","2010","Racing","Sega",0.36,0.43,0,0.16,0.95,NA,NA,"",NA,"","","sonic"
"176","sonic riders","GameCube","2006","Racing","Sega",0.71,0.18,0,0.03,0.92,59,32,"8",46,"Sonic Team","E","sonic"
