"","Name","Platform","Year_of_Release","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count","Developer","Rating","series"
"578","call of duty: world at war","PC","2008","Shooter","Activision",0.02,0.14,0,0.03,0.18,83,36,"7.5",721,"Treyarch","M","call of duty"
"579","call of duty: infinite warfare","PC","2016","Shooter","Activision",0.04,0.08,0,0.01,0.14,73,16,"3",440,"Infinity Ward","M","call of duty"
"580","call of duty 2","PC","2005","Shooter","Activision",0,0.05,0,0.01,0.06,86,64,"8.4",626,"Infinity Ward","T","call of duty"
"581","call of duty: the war collection","Xbox One","2010","Shooter","Activision",0.05,0,0,0,0.06,NA,NA,"tbd",NA,"Treyarch, Infinity Ward","M","call of duty"
"582","call of duty: modern warfare trilogy","Xbox One","2016","Shooter","Activision",0.02,0.02,0,0,0.04,NA,NA,"tbd",NA,"Infinity Ward","M","call of duty"
"583","call of duty: modern warfare trilogy","PlayStation 3","2016","Shooter","Activision",0.01,0.01,0,0,0.02,NA,NA,"7",5,"Infinity Ward","M","call of duty"
"584","resident evil 2","PlayStation","1998","Action","Virgin Interactive",1.88,1.47,2.02,0.45,5.82,89,13,"9.2",364,"Capcom","M","resident evil"
"585","resident evil 5","PlayStation 3","2009","Action","Capcom",1.96,1.41,1.08,0.64,5.09,84,76,"7.5",667,"Capcom","M","resident evil"
"586","resident evil","PlayStation","1996","Action","Virgin Interactive",2.05,1.16,1.11,0.73,5.05,91,8,"9",266,"Capcom","M","resident evil"
"587","resident evil director's cut","PlayStation","1996","Action","Virgin Interactive",1.82,1.24,0.47,0.25,3.77,NA,NA,"",NA,"","","resident evil"
"588","resident evil 3: nemesis","PlayStation","1999","Action","Eidos Interactive",1.3,0.77,1.54,0.11,3.72,NA,NA,"",NA,"","","resident evil"
"589","resident evil 4","PlayStation 2","2005","Action","Capcom",2.08,0.83,0.46,0.25,3.62,96,38,"8.9",1013,"Capcom","M","resident evil"
"590","resident evil 5","Xbox One","2009","Action","Capcom",2.11,0.93,0.12,0.34,3.5,83,91,"7.5",523,"Capcom","M","resident evil"
"591","resident evil 6","PlayStation 3","2012","Shooter","Capcom",0.88,0.94,0.88,0.4,3.1,74,34,"5.4",1304,"Capcom","M","resident evil"
"592","resident evil - code: veronica x","PlayStation 2","2001","Action","Capcom",1.08,0.7,0.34,0.21,2.34,84,21,"8.4",189,"Capcom","M","resident evil"
"593","resident evil 4","Wii","2007","Action","Capcom",1.32,0.56,0.14,0.2,2.22,NA,NA,"",NA,"","","resident evil"
"594","resident evil 6","Xbox One","2012","Shooter","Capcom",1.12,0.6,0.07,0.16,1.95,67,71,"5",1407,"Capcom","M","resident evil"
"595","resident evil 4","GameCube","2005","Action","Capcom",0.98,0.42,0.22,0.06,1.69,96,82,"9.4",767,"Capcom","M","resident evil"
"596","resident evil: the umbrella chronicles","Wii","2007","Action","Capcom",0.67,0.43,0.29,0.14,1.52,75,47,"7.6",122,"Cavia Inc.","M","resident evil"
"597","resident evil: outbreak","PlayStation 2","2003","Action","Capcom",0.54,0.35,0.46,0.1,1.45,71,40,"8.3",94,"Capcom","M","resident evil"
"598","resident evil (remake)","GameCube","2002","Action","Capcom",0.63,0.38,0.35,0.05,1.42,NA,NA,"",NA,"","","resident evil"
"599","resident evil zero","GameCube","2002","Action","Capcom",0.54,0.27,0.45,0.04,1.29,NA,NA,"",NA,"","","resident evil"
"600","resident evil: operation raccoon city","PlayStation 3","2012","Action","Capcom",0.48,0.24,0.36,0.1,1.17,52,36,"4.9",222,"Slant Six","M","resident evil"
"601","resident evil - code: veronica","Dreamcast","2000","Action","Eidos Interactive",0.41,0.23,0.47,0.03,1.14,NA,NA,"",NA,"","","resident evil"
"602","resident evil: the darkside chronicles","Wii","2009","Action","Capcom",0.46,0.31,0.2,0.09,1.05,75,55,"8",60,"Cavia Inc.","M","resident evil"
"603","resident evil: revelations","3Nintendo DS","2012","Action","Capcom",0.3,0.22,0.3,0.05,0.88,82,78,"8.5",397,"Capcom","M","resident evil"
"604","resident evil: operation raccoon city","Xbox One","2012","Action","Capcom",0.55,0.14,0.03,0.06,0.77,52,56,"4.9",330,"Slant Six","M","resident evil"
"605","resident evil: revelations","PlayStation 3","2013","Action","Capcom",0.14,0.29,0.22,0.09,0.74,74,30,"7.2",204,"Capcom","M","resident evil"
"606","resident evil: survivor","PlayStation","2000","Action","Eidos Interactive",0.23,0.15,0.29,0.05,0.71,39,10,"7",47,"Capcom","M","resident evil"
"607","resident evil outbreak file #2","PlayStation 2","2004","Action","Capcom",0.19,0.15,0.17,0.05,0.57,58,35,"7.7",70,"Capcom","M","resident evil"
"608","resident evil 2","Nintendo 64","1999","Action","Virgin Interactive",0.39,0.09,0.07,0.01,0.56,NA,NA,"",NA,"","","resident evil"
"609","resident evil: revelations 2","PlayStation 4","2015","Action","Capcom",0.13,0.24,0.1,0.07,0.55,75,30,"7.7",284,"Capcom","M","resident evil"
"610","resident evil: the mercenaries 3d","3Nintendo DS","2011","Action","Capcom",0.16,0.16,0.13,0.03,0.49,65,69,"6.4",110,"Capcom","M","resident evil"
"611","resident evil zero","PlayStation 4","2016","Action","Capcom",0.1,0.17,0.05,0.05,0.37,NA,NA,"",NA,"","","resident evil"
"612","resident evil: dead aim","PlayStation 2","2003","Action","Capcom",0.17,0.13,0,0.04,0.35,65,28,"6.6",48,"Cavia Inc.","M","resident evil"
"613","resident evil archives: resident evil","Wii","2008","Action","Capcom",0.16,0.04,0.08,0.02,0.3,76,11,"8.9",41,"Capcom","M","resident evil"
"614","resident evil: revelations 2","PlayStation 3","2015","Action","Capcom",0.06,0.05,0.16,0.02,0.29,NA,NA,"6.8",48,"Capcom","M","resident evil"
"615","resident evil 2: dual shock edition","PlayStation","1998","Action","Capcom",0,0,0.26,0.02,0.27,NA,NA,"",NA,"","","resident evil"
"616","resident evil: revelations","Xbox One","2013","Action","Capcom",0.12,0.1,0.02,0.02,0.26,75,30,"7.4",170,"Capcom","M","resident evil"
"617","resident evil: deadly silence","Nintendo DS","2006","Action","Capcom",0.11,0.02,0.11,0.01,0.26,71,41,"8.4",36,"Capcom","M","resident evil"
"618","resident evil archives: resident evil zero","Wii","2008","Action","Capcom",0.13,0.03,0.06,0.01,0.24,62,17,"8.2",37,"Capcom","M","resident evil"
"619","resident evil: revelations","Wii U","2013","Action","Capcom",0.07,0.07,0.03,0.01,0.19,80,19,"7.5",146,"Capcom","M","resident evil"
"620","resident evil director's cut: dual shock edition","PlayStation","1997","Action","Capcom",0,0,0.16,0.01,0.17,NA,NA,"",NA,"","","resident evil"
"621","resident evil","SAT","1997","Action","Capcom",0,0,0.17,0,0.17,NA,NA,"",NA,"","","resident evil"
"622","resident evil","PlayStation 3","2006","Action","Capcom",0,0,0.12,0,0.12,NA,NA,"",NA,"","","resident evil"
"623","resident evil: revelations 2","PlayStationV","2015","Action","Capcom",0,0.03,0.07,0.01,0.1,65,12,"7.8",63,"Frima Studio","M","resident evil"
"624","resident evil: revelations 2","Xbox One","2015","Action","Capcom",0.07,0.02,0,0.01,0.1,75,22,"7.5",106,"Capcom","M","resident evil"
"625","resident evil chronicles hd","PlayStation 3","2012","Shooter","Capcom",0,0,0.09,0,0.09,NA,NA,"",NA,"","","resident evil"
"626","resident evil 6","PlayStation 4","2016","Shooter","Capcom",0.06,0,0,0.01,0.08,60,19,"6.7",94,"Capcom","M","resident evil"
"627","resident evil zero","Xbox One","2016","Action","Capcom",0.05,0.02,0,0.01,0.08,NA,NA,"",NA,"","","resident evil"
"628","resident evil 3: nemesis","GameCube","2003","Action","Capcom",0.06,0.02,0,0,0.08,62,14,"8.3",44,"Capcom","M","resident evil"
"629","resident evil: revelations 2","Xbox One","2015","Action","Capcom",0.04,0.02,0,0.01,0.07,NA,NA,"6.6",48,"Capcom","M","resident evil"
"630","resident evil 5","PC","2009","Action","Capcom",0.01,0.04,0,0.01,0.07,86,30,"7.1",597,"Capcom","M","resident evil"
"631","resident evil - code: veronica x","GameCube","2003","Action","Capcom",0.05,0.01,0,0,0.06,62,16,"8.5",32,"Nex Entertainment","M","resident evil"
"632","resident evil 2","GameCube","2003","Action","Capcom",0.04,0.01,0,0,0.06,59,15,"8.5",31,"Capcom","M","resident evil"
"633","resident evil 4 hd","PlayStation 4","2016","Shooter","Capcom",0.04,0,0,0.01,0.05,NA,NA,"",NA,"","","resident evil"
"634","resident evil director's cut","PlayStation 3","2006","Action","Capcom",0,0,0.05,0,0.05,NA,NA,"",NA,"","","resident evil"
"635","resident evil 6","Xbox One","2016","Shooter","Capcom",0.04,0,0,0,0.05,63,12,"6.3",34,"Capcom","M","resident evil"
"636","resident evil 6","PC","2012","Shooter","Capcom",0,0.04,0,0,0.04,69,18,"5.9",868,"Capcom, QLOC","M","resident evil"
"637","resident evil: revelations","PC","2013","Action","Capcom",0,0.04,0,0,0.04,77,12,"7",342,"Capcom","M","resident evil"
"638","resident evil: operation raccoon city","PC","2012","Action","Capcom",0,0.03,0,0.01,0.04,48,8,"3.8",188,"Slant Six","M","resident evil"
"639","resident evil 4","PC","2007","Action","Ubisoft",0,0.02,0,0,0.03,76,15,"7.4",242,"Capcom","M","resident evil"
"640","resident evil 5 hd","PlayStation 4","2016","Action","Capcom",0.02,0,0,0.01,0.03,NA,NA,"",NA,"","","resident evil"
"641","resident evil: umbrella corps","PlayStation 4","2016","Action","Capcom",0,0,0.02,0,0.02,NA,NA,"",NA,"","","resident evil"
"642","resident evil zero","PC","2016","Action","Capcom",0.01,0.01,0,0,0.02,NA,NA,"",NA,"","","resident evil"
"643","resident evil 4 hd","Xbox One","2016","Shooter","Capcom",0.02,0,0,0,0.02,NA,NA,"",NA,"","","resident evil"
"644","resident evil 5 hd","Xbox One","2016","Action","Capcom",0.02,0,0,0,0.02,NA,NA,"",NA,"","","resident evil"
"645","pokemon red/pokemon blue","Game Boy","1996","Role-Playing","Nintendo",11.27,8.89,10.22,1,31.37,NA,NA,"",NA,"","","pokemon"
"646","pokemon gold/pokemon silver","Game Boy","1999","Role-Playing","Nintendo",9,6.18,7.2,0.71,23.1,NA,NA,"",NA,"","","pokemon"
"647","pokemon diamond/pokemon pearl","Nintendo DS","2006","Role-Playing","Nintendo",6.38,4.46,6.04,1.36,18.25,NA,NA,"",NA,"","","pokemon"
"648","pokemon ruby/pokemon sapphire","Game BoyA","2002","Role-Playing","Nintendo",6.06,3.9,5.38,0.5,15.85,NA,NA,"",NA,"","","pokemon"
"649","pokemon black/pokemon white","Nintendo DS","2010","Role-Playing","Nintendo",5.51,3.17,5.65,0.8,15.14,NA,NA,"",NA,"","","pokemon"
"650","pokemon yellow: special pikachu edition","Game Boy","1998","Role-Playing","Nintendo",5.89,5.04,3.12,0.59,14.64,NA,NA,"",NA,"","","pokemon"
"651","pokemon x/pokemon y","3Nintendo DS","2013","Role-Playing","Nintendo",5.28,4.19,4.35,0.78,14.6,NA,NA,"",NA,"","","pokemon"
"652","pokemon heartgold/pokemon soulsilver","Nintendo DS","2009","Action","Nintendo",4.34,2.71,3.96,0.76,11.77,NA,NA,"",NA,"","","pokemon"
"653","pokemon omega ruby/pokemon alpha sapphire","3Nintendo DS","2014","Role-Playing","Nintendo",4.35,3.49,3.1,0.74,11.68,NA,NA,"",NA,"","","pokemon"
"654","pokemon firered/pokemon leafgreen","Game BoyA","2004","Role-Playing","Nintendo",4.34,2.65,3.15,0.35,10.49,NA,NA,"",NA,"","","pokemon"
"655","pokemon black 2/pokemon white 2","Nintendo DS","2012","Role-Playing","Nintendo",2.79,1.72,3.14,0.41,8.07,NA,NA,"",NA,"","","pokemon"
"656","pokemon platinum version","Nintendo DS","2008","Role-Playing","Nintendo",2.76,1.72,2.69,0.54,7.72,83,46,"8.5",203,"Game Freak","E","pokemon"
"657","pokemon sun/moon","3Nintendo DS","2016","Role-Playing","Nintendo",2.98,1.45,2.26,0.45,7.14,NA,NA,"",NA,"","","pokemon"
"658","pokemon emerald version","Game BoyA","2004","Role-Playing","Nintendo",2.57,1.58,2.06,0.21,6.41,76,28,"9",222,"Game Freak","E","pokemon"
"659","pokemon crystal version","Game Boy","2000","Role-Playing","Nintendo",2.55,1.56,1.29,0.99,6.39,NA,NA,"",NA,"","","pokemon"
"660","pokemon stadium","Nintendo 64","1999","Strategy","Nintendo",3.18,1.24,0.94,0.09,5.45,NA,NA,"",NA,"","","pokemon"
"661","pokemon pinball","Game Boy","1999","Misc","Nintendo",3.02,1.12,1.01,0.16,5.31,NA,NA,"",NA,"","","pokemon"
"662","pokemon mystery dungeon: explorers of time/explorers of darkness","Nintendo DS","2007","Role-Playing","Nintendo",1.83,1.19,1.54,0.37,4.93,NA,NA,"",NA,"","","pokemon"
"663","pokemon trading card game","Game Boy","1998","Strategy","Nintendo",1.49,0.73,1.38,0.1,3.7,NA,NA,"",NA,"","","pokemon"
"664","pokemon snap","Nintendo 64","1999","Simulation","Nintendo",2.23,0.68,0.66,0.06,3.63,NA,NA,"",NA,"","","pokemon"
"665","pokemon stadium 2","Nintendo 64","2000","Strategy","Nintendo",1.02,0.36,1.13,0.23,2.73,NA,NA,"",NA,"","","pokemon"
"666","pokemon colosseum","GameCube","2003","Role-Playing","Nintendo",1.21,0.57,0.7,0.07,2.54,73,37,"8",89,"Genius Sonority Inc.","E","pokemon"
"667","pokemon ranger: shadows of almia","Nintendo DS","2008","Role-Playing","Nintendo",0.94,0.53,0.62,0.18,2.28,68,24,"8.2",27,"HAL Labs, Creatures Inc.","E","pokemon"
"668","pokemon ranger","Nintendo DS","2006","Role-Playing","Nintendo",1.28,0.03,0.73,0.12,2.15,69,21,"7.6",50,"HAL Labs","E","pokemon"
"669","pokemon mystery dungeon: red/blue rescue team","Game BoyA","2005","Role-Playing","Nintendo",0.71,0.52,0.74,0.08,2.06,NA,NA,"",NA,"","","pokemon"
"670","pokemon mystery dungeon: blue rescue team","Nintendo DS","2005","Role-Playing","Nintendo",1.15,0.04,0.83,0,2.02,62,34,"8.1",97,"ChunSoft","E","pokemon"
"671","pokemon battle revolution","Wii","2006","Role-Playing","Nintendo",0.78,0.37,0.3,0.13,1.58,53,34,"6.7",106,"Genius Sonority Inc.","E","pokemon"
"672","pokemon mystery dungeon: explorers of sky","Nintendo DS","2009","Role-Playing","Nintendo",0.57,0.43,0.44,0.12,1.56,54,26,"9",133,"ChunSoft","E","pokemon"
"673","pokemon pinball: ruby & sapphire","Game BoyA","2003","Misc","Nintendo",0.68,0.38,0.44,0.05,1.56,NA,NA,"",NA,"","","pokemon"
"674","pokemon ranger: guardian signs","Nintendo DS","2010","Role-Playing","Nintendo",0.5,0.16,0.58,0.05,1.29,68,25,"8.2",25,"Creatures Inc.","E","pokemon"
"675","pokemon mystery dungeon: gates to infinity","3Nintendo DS","2012","Role-Playing","Nintendo",0.44,0.29,0.47,0.07,1.27,59,46,"6.3",134,"Nintendo, Spike Chunsoft","E","pokemon"
"676","pokemon xd: gale of darkness","GameCube","2005","Role-Playing","Nintendo",0.71,0.19,0.31,0.03,1.25,64,27,"8.3",74,"Genius Sonority Inc.","E","pokemon"
"677","pokemon super mystery dungeon","3Nintendo DS","2015","Role-Playing","Nintendo",0.48,0.35,0.34,0.08,1.25,69,44,"8.8",190,"Spike Chunsoft Co. Ltd., Spike Chunsoft","E","pokemon"
"678","pokemon rumble blast","3Nintendo DS","2011","Action","Nintendo",0.47,0.26,0.35,0.07,1.14,56,36,"7.1",50,"Ambrella","E10+","pokemon"
"679","pokemon mystery dungeon: red rescue team (us weekly sales)","Game BoyA","2005","Role-Playing","Nintendo",0.81,0.3,0,0.02,1.13,NA,NA,"",NA,"","","pokemon"
"680","pokemon conquest","Nintendo DS","2012","Role-Playing","Nintendo",0.56,0.05,0.37,0.04,1.02,80,40,"8.2",89,"Koei","E","pokemon"
"681","pokemon card gb2: here comes team gr!","Game Boy","2001","Strategy","Nintendo",0,0,0.89,0,0.89,NA,NA,"",NA,"","","pokemon"
"682","pokemon dash","Nintendo DS","2004","Racing","Nintendo",0.21,0.14,0.38,0.04,0.77,46,28,"5.9",34,"Ambrella","E","pokemon"
"683","pokemon trozei!","Nintendo DS","2005","Puzzle","Nintendo",0.25,0,0.31,0.02,0.59,NA,NA,"",NA,"","","pokemon"
"684","pokemon art academy ","3Nintendo DS","2014","Misc","Nintendo",0.18,0.12,0.16,0.03,0.49,76,22,"7.7",19,"Headstrong Games","E","pokemon"
"685","pokemon puzzle league","Nintendo 64","2000","Puzzle","Nintendo",0.36,0.08,0,0.01,0.45,NA,NA,"",NA,"","","pokemon"
